record_id,buoy_id,Name,Country,Site Type,latitude,longitude,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread
168,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/06/2022,3.7,7,4.9,0.84,11.65,18
169,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/06/2022,5.1,290,8.7,0.87,11.95,67
170,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/06/2022,3.3,269,8.3,0.71,12.15,41
171,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/06/2022,4.2,305,8.7,0.75,12.3,28
172,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/06/2022,6.9,259,9.5,0.94,12.6,28
173,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/06/2022,4.6,257,11.1,1.07,12.5,34
174,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/06/2022,6.4,252,9.5,1.33,13.1,49
175,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/06/2022,5.7,252,8.7,2.89,12.45,28
176,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/06/2022,9.1,249,14.3,6.5,12.05,23
177,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/06/2022,7.4,253,11.8,4.34,11.7,26
178,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/06/2022,6.6,291,10.5,3,11.75,31
179,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/06/2022,5.9,273,10,2.33,11.95,31
180,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/06/2022,6.9,273,11.8,2.94,12.1,23
181,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/06/2022,6.9,267,10.5,2.57,12,31
182,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/06/2022,5.5,287,11.8,2.42,12,28
183,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/06/2022,7.9,281,10.5,5.09,12.05,35
184,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/06/2022,7.8,285,11.8,4.18,12.05,28
185,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/06/2022,6.4,329,9.5,2.15,12.15,41
186,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/06/2022,5.3,297,7.4,1.78,12,31
187,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/06/2022,6.4,287,10.5,1.98,12.45,31
188,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/06/2022,6.1,302,9.5,2.47,12.3,23
189,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/06/2022,6.5,304,10.5,2.06,12.5,29
190,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/06/2022,6.6,318,10,1.63,12.45,45
191,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/06/2022,6.8,336,10.5,3.29,12.15,35
192,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/06/2022,5.8,349,10.5,2.1,12.4,38
193,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/06/2022,5.4,224,8,2.72,12.4,21
194,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,29/06/2022,6.7,259,10.5,2.89,12.2,23
195,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,30/06/2022,7.4,262,10,1.78,12.75,26
196,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/07/2022,5.3,293,8.3,1.33,12.5,23
197,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/07/2022,5.4,253,7.4,0.97,12.75,23
198,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/07/2022,4.9,259,10,1.46,12.95,28
199,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/07/2022,6,288,8.3,3,12.75,34
200,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/07/2022,6.1,321,9.5,2.78,12.7,28
201,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/07/2022,4.8,283,7.1,1.78,12.85,38
202,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/07/2022,6.5,287,10,2.78,12.8,26
203,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/07/2022,5.2,283,9.1,1.86,12.95,34
204,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/07/2022,6,288,9.5,2.06,13,28
205,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/07/2022,5.3,276,7.4,1.74,13.25,34
206,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/07/2022,6,287,10,2.15,13.1,23
207,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/07/2022,7.1,274,10.5,3.89,13.1,23
208,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/07/2022,6.8,273,11.1,3.48,13.1,34
209,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/07/2022,6.3,295,9.5,2.28,13.2,28
210,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/07/2022,6,333,9.5,1.56,13.45,41
211,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/07/2022,5.4,291,8.3,1.18,13.75,41
212,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/07/2022,5.3,278,7.7,1.56,13.5,23
213,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/07/2022,9.2,284,12.5,2.72,13.75,18
214,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/07/2022,6.4,285,10,1.24,14.2,38
215,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/07/2022,4.5,274,6.1,1.18,14.2,21
216,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/07/2022,6,294,9.5,2.06,13.95,28
